Resolution METINGEN
picture,HitRatio( X / 12 )
face 1, 2
face 2, 2
face 3, 2
face 4, 2
face 5, 2
face 6, 2
face 7, 2
face 8, 2
face 9, 2
face 10, 2
face 11, 2
face 12, 2
face 13, 2
face 14, 2
face 15, 2
face 16, 2
face 17, 2
face 18, 2
face 19, 2
face 20, 2
face 21, 12
face 22, 2
face 23, 12
face 24, 2
face 25, 12
face 26, 2
face 27, 2
face 28, 12
face 29, 12
face 30, 2
face 31, 2
face 32, 12
face 33, 12
face 34, 12
face 35, 12
face 36, 12
face 37, 12
face 38, 12
face 39, 12
face 40, 12
face 41, 12
face 42, 12
face 43, 12
face 44, 12
face 45, 12
face 46, 12
face 47, 12
face 48, 12
face 49, 12
face 50, 12
face 51, 12
face 52, 12
face 53, 12
face 54, 12
face 55, 12
face 56, 12
face 57, 12
face 58, 12
face 59, 12
face 60, 12
face 61, 12
face 62, 12
face 63, 12
face 64, 12
face 65, 12
face 66, 12
face 67, 12
face 68, 12
face 69, 12
face 70, 12
face 71, 12
face 72, 12
face 73, 12
face 74, 12
face 75, 12
face 76, 12
face 77, 12
face 78, 12
face 79, 12
face 80, 12
face 81, 12
face 82, 12
