Saturation METINGEN
picture,HitRatio( X / 12 )
face 10, 12
face 11, 12
face 12, 12
face 13, 12
face 14, 12
face 15, 12
face 16, 12
face 17, 12
face 18, 12
face 19, 12
face 20, 12
face 21, 12
face 22, 12
face 23, 12
face 24, 12
face 25, 12
face 26, 12
face 27, 12
face 28, 12
face 29, 12
face 30, 12
face 31, 12
face 32, 12
face 33, 12
face 34, 12
face 35, 12
face 36, 12
face 37, 12
face 38, 12
face 39, 12
face 40, 12
face 41, 12
face 42, 12
face 43, 12
face 44, 12
face 45, 12
face 46, 12
face 47, 12
face 48, 12
face 49, 12
face 50, 12
face 51, 12
face 52, 12
face 53, 12
face 54, 12
face 55, 12
face 56, 12
face 57, 12
face 58, 12
face 59, 12
face 60, 12
face 61, 12
face 62, 12
face 63, 12
face 64, 12
face 65, 12
face 66, 12
face 67, 12
face 68, 12
face 69, 12
face 70, 12
face 71, 12
face 72, 12
face 73, 12
face 74, 12
face 75, 12
face 76, 12
face 77, 12
face 78, 12
face 79, 12
face 80, 12
face 81, 12
face 82, 12
face 83, 12
face 84, 12
face 85, 12
face 86, 4
face 87, 12
face 88, 12
face 89, 12
face 90, 12
face 91, 12
face 92, 12
face 93, 12
face 94, 12
face 95, 12
face 96, 4
face 97, 4
face 98, 4
face 99, 4
face 100, 12
