LIGHTNESS METINGEN
picture,HitRatio( X / 12 )
face 1, 2
face 2, 4
face 3, 2
face 4, 4
face 5, 2
face 6, 4
face 7, 4
face 8, 4
face 9, 4
face 10, 4
face 11, 4
face 12, 4
face 13, 4
face 14, 4
face 15, 4
face 16, 4
face 17, 4
face 18, 4
face 19, 4
face 20, 4
face 21, 4
face 22, 4
face 23, 4
face 24, 4
face 25, 4
face 26, 4
face 27, 4
face 28, 4
face 29, 4
face 30, 4
face 31, 4
face 32, 4
face 33, 4
face 34, 4
face 35, 4
face 36, 5
face 37, 5
face 38, 5
face 39, 5
face 40, 5
face 41, 5
face 42, 5
face 43, 5
face 44, 5
face 45, 5
face 46, 5
face 47, 12
face 48, 12
face 49, 12
face 50, 12
face 51, 12
face 52, 12
face 53, 12
face 54, 5
face 55, 5
face 56, 12
face 57, 5
face 58, 5
face 59, 5
face 60, 5
face 61, 5
face 62, 5
face 63, 9
face 64, 5
face 65, 4
face 66, 4
face 67, 4
face 68, 4
face 69, 4
face 70, 4
face 71, 4
face 72, 4
face 73, 4
face 74, 4
face 75, 4
face 76, 4
face 77, 4
face 78, 4
face 79, 4
face 80, 4
face 81, 4
face 82, 4
face 83, 4
face 84, 4
face 85, 4
face 86, 4
face 87, 4
face 88, 4
face 89, 4
face 90, 4
face 91, 4
face 92, 4
face 93, 4
face 94, 4
face 95, 4
face 96, 4
face 97, 4
face 98, 4
