Resolution METINGEN
picture,HitRatio( X / 12 )
face 5, 2
face 6, 2
face 7, 2
face 8, 2
face 9, 2
face 10, 2
face 11, 2
face 12, 2
face 13, 2
face 14, 5
face 15, 2
face 16, 2
face 17, 5
face 18, 5
face 19, 5
face 20, 2
face 21, 5
face 22, 5
face 23, 2
face 24, 5
face 25, 5
face 26, 5
face 27, 5
face 28, 5
face 29, 5
face 30, 12
face 31, 5
face 32, 5
face 33, 5
face 34, 2
face 35, 5
face 36, 5
face 37, 5
face 38, 5
face 39, 5
face 40, 12
face 41, 2
face 42, 2
face 43, 5
face 44, 2
face 45, 2
face 46, 2
